Date,Recent graduates,College graduates
1-Jan,42.9,34.1
1-Feb,43.2,34.1
1-Mar,43.3,34.1
1-Apr,44.5,34.2
1-May,44.8,34.3
1-Jun,45.0,34.2
1-Jul,44.4,34.1
1-Aug,43.8,33.5
1-Sep,43.9,33.6
1-Oct,44.1,33.7
1-Nov,44.3,34.2
1-Dec,44.6,34.3
1-Jan,44.6,34.1
1-Feb,44.6,33.9
1-Mar,43.9,33.6
1-Apr,43.5,33.6
1-May,43.7,33.6
1-Jun,44.1,33.7
1-Jul,44.8,33.9
1-Aug,44.4,33.9
1-Sep,44.6,33.8
1-Oct,44.6,33.7
1-Nov,45.4,33.5
1-Dec,45.2,33.3
1-Jan,45.4,33.5
1-Feb,46.4,34.1
1-Mar,47.6,34.9
1-Apr,48.0,35.0
1-May,47.7,34.9
1-Jun,47.3,34.6
1-Jul,47.2,34.6
1-Aug,47.3,34.7
1-Sep,47.7,34.8
1-Oct,48.2,34.7
1-Nov,48.4,34.4
1-Dec,48.3,34.2
1-Jan,47.6,34.0
1-Feb,46.9,34.0
1-Mar,45.8,33.9
1-Apr,45.8,34.1
1-May,45.9,34.3
1-Jun,46.4,34.4
1-Jul,46.5,34.4
1-Aug,46.8,34.4
1-Sep,46.8,34.5
1-Oct,46.6,34.3
1-Nov,46.5,34.4
1-Dec,46.7,34.6
1-Jan,47.6,35.0
1-Feb,48.1,34.9
1-Mar,47.9,34.8
1-Apr,47.3,34.4
1-May,46.8,34.1
1-Jun,47.1,33.9
1-Jul,47.2,33.8
1-Aug,46.5,33.7
1-Sep,45.4,33.4
1-Oct,44.5,33.4
1-Nov,44.4,33.3
1-Dec,44.8,33.1
1-Jan,44.7,32.9
1-Feb,44.9,32.5
1-Mar,44.9,32.4
1-Apr,45.0,32.4
1-May,44.8,32.5
1-Jun,44.6,32.7
1-Jul,44.2,32.7
1-Aug,44.4,32.9
1-Sep,44.3,33.2
1-Oct,44.2,33.2
1-Nov,43.5,32.9
1-Dec,42.8,32.5
1-Jan,42.1,32.3
1-Feb,42.1,32.6
1-Mar,42.6,32.8
1-Apr,43.4,33.0
1-May,43.8,33.0
1-Jun,44.2,32.8
1-Jul,44.4,33.1
1-Aug,43.9,33.1
1-Sep,43.2,33.3
1-Oct,42.8,33.2
1-Nov,42.8,33.0
1-Dec,42.6,32.7
1-Jan,42.6,32.3
1-Feb,42.0,32.1
1-Mar,41.9,32.1
1-Apr,41.6,32.2
1-May,41.4,32.4
1-Jun,41.0,32.5
1-Jul,41.3,32.6
1-Aug,40.8,32.5
1-Sep,41.2,32.4
1-Oct,41.0,32.6
1-Nov,42.1,32.9
1-Dec,41.9,33.1
1-Jan,41.7,33.2
1-Feb,40.7,33.1
1-Mar,40.2,32.9
1-Apr,39.4,32.6
1-May,39.3,32.6
1-Jun,39.6,32.6
1-Jul,40.1,32.5
1-Aug,40.4,32.3
1-Sep,40.8,32.0
1-Oct,41.2,31.8
1-Nov,41.7,31.9
1-Dec,41.8,32.1
1-Jan,41.6,32.3
1-Feb,41.5,32.3
1-Mar,40.7,32.1
1-Apr,40.7,31.9
1-May,40.1,31.7
1-Jun,39.6,31.7
1-Jul,38.5,31.5
1-Aug,38.1,31.6
1-Sep,38.2,31.7
1-Oct,38.4,31.9
1-Nov,38.3,32.0
1-Dec,38.0,31.9
1-Jan,37.9,31.8
1-Feb,38.0,31.7
1-Mar,38.5,31.6
1-Apr,38.9,31.6
1-May,39.1,31.5
1-Jun,38.1,31.4
1-Jul,37.7,31.5
1-Aug,37.1,31.7
1-Sep,37.9,31.8
1-Oct,38.7,31.9
1-Nov,38.8,31.8
1-Dec,38.8,31.8
1-Jan,37.9,31.6
1-Feb,37.4,31.7
1-Mar,36.7,31.7
1-Apr,36.6,31.7
1-May,37.2,31.5
1-Jun,37.9,31.5
1-Jul,38.7,31.6
1-Aug,38.7,31.7
1-Sep,38.4,32.0
1-Oct,37.9,32.0
1-Nov,38.0,32.2
1-Dec,38.6,32.1
1-Jan,39.6,32.1
1-Feb,39.8,32.2
1-Mar,40.0,32.4
1-Apr,38.8,32.5
1-May,38.5,32.5
1-Jun,37.8,32.6
1-Jul,38.1,32.6
1-Aug,38.1,32.6
1-Sep,37.9,32.3
1-Oct,37.6,32.1
1-Nov,37.6,32.1
1-Dec,38.0,32.2
1-Jan,38.8,32.6
1-Feb,39.4,32.8
1-Mar,40.5,33.1
1-Apr,41.5,33.6
1-May,42.4,33.9
1-Jun,42.4,34.0
1-Jul,42.4,33.8
1-Aug,42.5,33.7
1-Sep,42.4,33.5
1-Oct,41.8,33.5
1-Nov,41.4,33.6
1-Dec,41.2,33.7
