Date,Good non-college jobs: college graduates,Good non-college jobs: recent college graduates,Low-wage jobs: recent college graduates,Low-wage jobs: college graduates
1-Jan,54.9,47.8,8.6,6.1
1-Feb,54.8,47.8,8.6,6.2
1-Mar,54.9,47.7,8.7,6.2
1-Apr,54.9,47.5,8.9,6.2
1-May,54.8,47.5,9.0,6.3
1-Jun,54.9,47.5,8.9,6.2
1-Jul,54.9,47.6,9.0,6.3
1-Aug,54.8,47.8,8.9,6.3
1-Sep,54.8,48.0,8.8,6.3
1-Oct,54.7,48.2,8.9,6.3
1-Nov,54.7,48.2,9.0,6.3
1-Dec,54.6,48.5,8.8,6.2
1-Jan,54.5,48.5,8.8,6.3
1-Feb,54.4,48.4,8.9,6.3
1-Mar,54.2,48.0,8.9,6.3
1-Apr,54.2,48.0,9.0,6.2
1-May,54.0,47.4,9.1,6.2
1-Jun,53.9,47.1,9.3,6.3
1-Jul,53.8,46.8,9.4,6.4
1-Aug,53.8,46.4,9.6,6.4
1-Sep,53.8,46.1,9.9,6.5
1-Oct,53.8,45.9,9.8,6.6
1-Nov,53.9,45.9,9.9,6.7
1-Dec,53.8,45.7,10.0,6.7
1-Jan,53.7,45.6,10.1,6.7
1-Feb,53.7,45.6,10.0,6.7
1-Mar,53.7,46.0,10.0,6.7
1-Apr,53.8,45.9,10.2,6.8
1-May,53.9,46.1,10.2,6.8
1-Jun,53.9,46.4,10.3,6.8
1-Jul,53.9,46.3,10.3,6.8
1-Aug,53.9,46.2,10.2,6.8
1-Sep,53.9,46.0,10.3,6.9
1-Oct,53.9,45.7,10.5,6.9
1-Nov,53.7,45.4,10.7,7.0
1-Dec,53.8,45.4,10.9,7.0
1-Jan,53.9,45.1,10.9,7.0
1-Feb,53.8,45.0,11.0,7.0
1-Mar,53.9,45.1,10.9,7.0
1-Apr,53.8,45.2,10.7,7.0
1-May,53.8,45.0,10.8,7.1
1-Jun,53.7,44.6,10.8,7.2
1-Jul,53.7,44.5,10.8,7.2
1-Aug,53.6,44.8,11.0,7.2
1-Sep,53.5,45.0,10.9,7.1
1-Oct,53.5,45.2,11.0,7.1
1-Nov,53.4,45.0,11.1,7.1
1-Dec,53.4,45.0,11.2,7.2
1-Jan,53.3,45.1,11.3,7.2
1-Feb,53.2,45.2,11.5,7.2
1-Mar,53.1,45.0,11.6,7.2
1-Apr,53.1,45.0,11.7,7.3
1-May,53.0,45.2,11.7,7.2
1-Jun,53.0,45.3,11.9,7.2
1-Jul,53.0,45.4,12.0,7.2
1-Aug,53.0,45.2,12.0,7.2
1-Sep,53.2,45.3,11.9,7.1
1-Oct,53.2,45.4,11.7,7.1
1-Nov,53.3,45.9,11.4,7.0
1-Dec,53.4,46.1,11.4,7.0
1-Jan,53.4,46.4,11.3,7.0
1-Feb,53.7,46.3,11.3,7.0
1-Mar,53.8,46.3,11.3,7.0
1-Apr,53.8,46.4,11.2,7.0
1-May,53.9,46.5,11.1,7.0
1-Jun,53.8,46.7,11.0,7.0
1-Jul,53.9,47.1,10.8,6.9
1-Aug,53.9,47.0,10.8,7.0
1-Sep,53.9,46.8,10.8,7.0
1-Oct,53.8,46.7,10.9,6.9
1-Nov,53.8,46.3,11.1,7.0
1-Dec,53.7,46.0,11.0,7.0
1-Jan,53.8,46.0,10.9,6.9
1-Feb,53.8,46.0,10.8,7.0
1-Mar,53.7,45.8,10.8,6.9
1-Apr,53.6,45.5,11.1,7.0
1-May,53.4,45.3,11.3,7.0
1-Jun,53.4,45.4,11.3,7.1
1-Jul,53.4,45.2,11.3,7.1
1-Aug,53.5,45.4,11.4,7.1
1-Sep,53.5,45.4,11.6,7.1
1-Oct,53.4,45.5,11.7,7.1
1-Nov,53.4,45.6,11.8,7.1
1-Dec,53.4,45.9,11.9,7.1
1-Jan,53.4,46.0,12.0,7.1
1-Feb,53.4,46.2,12.1,7.0
1-Mar,53.4,46.5,12.1,7.1
1-Apr,53.5,46.4,11.9,7.1
1-May,53.6,46.5,11.7,7.1
1-Jun,53.6,46.2,11.7,7.0
1-Jul,53.7,46.4,11.6,6.9
1-Aug,53.8,46.8,11.4,6.9
1-Sep,53.9,47.3,11.2,6.9
1-Oct,54.0,47.7,11.1,6.9
1-Nov,54.0,47.6,11.1,6.9
1-Dec,54.1,47.4,11.2,6.9
1-Jan,54.0,47.0,11.4,7.0
1-Feb,54.0,46.7,11.5,7.0
1-Mar,54.1,46.7,11.3,6.8
1-Apr,54.3,47.1,11.0,6.8
1-May,54.3,47.2,11.1,6.7
1-Jun,54.5,47.3,11.0,6.6
1-Jul,54.6,47.2,11.1,6.6
1-Aug,54.6,47.0,11.1,6.6
1-Sep,54.7,46.6,11.1,6.6
1-Oct,54.7,46.4,10.8,6.6
1-Nov,54.8,46.6,10.5,6.5
1-Dec,55.0,46.7,10.2,6.5
1-Jan,55.1,46.7,10.0,6.5
1-Feb,55.1,46.9,10.0,6.5
1-Mar,55.2,47.1,10.2,6.5
1-Apr,55.3,47.4,10.3,6.5
1-May,55.3,47.8,10.1,6.6
1-Jun,55.3,48.1,10.2,6.6
1-Jul,55.2,48.0,10.3,6.6
1-Aug,55.1,47.8,10.5,6.6
1-Sep,55.1,47.8,10.7,6.6
1-Oct,55.1,47.9,10.9,6.6
1-Nov,55.1,48.1,11.0,6.6
1-Dec,55.1,48.3,11.0,6.6
1-Jan,55.1,48.5,11.0,6.7
1-Feb,55.2,48.7,10.8,6.7
1-Mar,55.1,48.4,10.7,6.8
1-Apr,55.1,48.0,10.8,6.8
1-May,55.2,47.7,10.8,6.8
1-Jun,55.2,47.5,10.6,6.8
1-Jul,55.4,48.0,10.6,6.9
1-Aug,55.5,48.5,10.3,6.8
1-Sep,55.5,48.8,9.9,6.9
1-Oct,55.5,49.1,9.8,6.9
1-Nov,55.5,49.2,9.8,6.9
1-Dec,55.5,49.2,9.9,6.9
1-Jan,55.6,49.4,9.8,6.9
1-Feb,55.6,49.4,9.8,6.9
1-Mar,55.6,49.4,9.8,6.8
1-Apr,55.6,49.5,9.9,6.8
1-May,55.5,49.3,9.9,6.7
1-Jun,55.4,49.3,10.0,6.7
1-Jul,55.2,49.0,10.0,6.6
1-Aug,55.3,48.9,10.0,6.6
1-Sep,55.2,48.6,10.4,6.7
1-Oct,55.1,48.1,10.4,6.7
1-Nov,55.0,47.8,10.5,6.8
1-Dec,54.9,47.7,10.7,6.8
1-Jan,54.7,47.4,11.1,6.9
1-Feb,54.6,47.3,11.5,7.0
1-Mar,54.4,47.2,12.1,7.1
1-Apr,54.3,46.9,12.4,7.3
1-May,54.2,46.9,12.8,7.4
1-Jun,54.1,46.7,13.2,7.5
1-Jul,54.0,46.6,13.2,7.6
1-Aug,53.8,46.3,13.4,7.6
1-Sep,53.6,46.3,13.2,7.6
1-Oct,53.5,46.3,13.4,7.7
1-Nov,53.4,46.4,13.4,7.7
1-Dec,53.4,46.4,13.3,7.7
1-Jan,53.0,46.0,13.1,7.6
1-Feb,52.6,45.2,13.2,7.4
1-Mar,52.4,44.9,13.2,7.3
1-Apr,52.1,44.3,13.1,7.2
1-May,51.8,43.9,13.0,7.1
1-Jun,51.5,43.7,12.8,7.0
1-Jul,51.2,43.5,12.9,7.0
1-Aug,50.9,43.0,13.0,7.1
1-Sep,50.5,42.4,13.4,7.1
1-Oct,50.2,41.9,13.6,7.0
1-Nov,49.8,40.9,14.1,7.0
1-Dec,49.4,40.2,14.3,6.9
1-Jan,49.5,40.1,14.3,6.9
1-Feb,49.6,40.3,14.2,6.9
1-Mar,49.6,40.2,14.0,6.9
1-Apr,49.6,40.7,13.9,6.8
1-May,49.5,40.7,13.9,6.8
1-Jun,49.4,40.6,14.0,6.8
1-Jul,49.4,40.5,13.8,6.8
1-Aug,49.5,40.5,13.6,6.7
1-Sep,49.5,40.5,13.3,6.7
1-Oct,49.5,40.7,12.9,6.7
1-Nov,49.5,41.0,12.5,6.7
1-Dec,49.5,41.1,12.1,6.7
1-Jan,49.5,40.9,12.0,6.7
1-Feb,49.4,40.6,11.9,6.8
1-Mar,49.4,40.3,12.0,6.8
1-Apr,49.3,40.0,12.1,6.8
1-May,49.3,39.8,12.0,6.8
1-Jun,49.1,39.5,11.8,6.8
1-Jul,49.0,39.2,11.8,6.8
1-Aug,49.0,39.0,11.8,6.7
1-Sep,49.0,39.0,11.8,6.7
1-Oct,49.1,39.1,11.8,6.6
1-Nov,49.1,38.9,11.7,6.6
1-Dec,49.1,38.7,11.6,6.6
1-Jan,49.0,38.6,11.6,6.6
1-Feb,48.8,38.6,11.4,6.6
1-Mar,48.6,38.5,11.3,6.6
1-Apr,48.4,38.4,10.9,6.6
1-May,48.4,38.2,10.9,6.6
1-Jun,48.4,38.2,10.9,6.6
1-Jul,48.4,38.2,11.0,6.7
1-Aug,48.3,38.3,11.1,6.8
1-Sep,48.1,38.2,11.2,6.8
1-Oct,47.9,37.9,11.4,6.9
1-Nov,47.9,38.2,11.4,6.9
1-Dec,47.9,38.4,11.6,6.9
1-Jan,47.9,38.3,11.9,6.9
1-Feb,47.9,38.4,12.0,7.0
1-Mar,48.0,38.8,12.0,7.0
1-Apr,48.1,39.1,12.1,7.0
1-May,48.2,39.4,12.0,7.0
1-Jun,48.2,39.5,12.1,7.0
1-Jul,48.3,39.7,12.0,7.0
1-Aug,48.4,40.1,12.1,7.0
1-Sep,48.4,40.6,12.1,7.0
1-Oct,48.6,41.0,12.0,6.9
1-Nov,48.5,41.1,12.0,6.9
1-Dec,48.5,41.2,12.2,6.9
1-Jan,48.5,41.7,12.0,6.8
1-Feb,48.5,41.9,11.9,6.8
1-Mar,48.3,41.6,11.8,6.8
1-Apr,48.2,41.3,11.8,6.8
1-May,48.0,41.0,11.9,6.9
1-Jun,47.7,40.6,12.1,7.0
1-Jul,47.6,40.4,12.2,7.0
1-Aug,47.5,40.0,12.1,7.0
1-Sep,47.4,39.6,12.0,7.1
1-Oct,47.4,39.4,12.0,7.1
1-Nov,47.4,39.2,12.0,7.2
1-Dec,47.4,39.2,11.8,7.2
1-Jan,47.3,38.8,11.9,7.3
1-Feb,47.3,38.3,12.1,7.3
1-Mar,47.4,38.1,12.4,7.3
1-Apr,47.4,38.2,12.6,7.4
1-May,47.5,38.3,12.6,7.4
1-Jun,47.6,38.7,12.5,7.4
1-Jul,47.6,38.8,12.6,7.4
1-Aug,47.6,38.7,12.8,7.5
1-Sep,47.5,38.7,13.1,7.5
1-Oct,47.3,38.4,13.4,7.6
1-Nov,47.1,38.3,13.7,7.7
1-Dec,47.0,38.0,14.0,7.7
1-Jan,47.0,37.9,14.2,7.7
1-Feb,47.0,37.8,14.2,7.7
1-Mar,46.9,37.7,14.3,7.8
1-Apr,46.9,37.4,14.3,7.8
1-May,46.8,37.0,14.4,7.8
1-Jun,46.7,36.5,14.7,7.8
1-Jul,46.6,36.2,14.8,7.7
1-Aug,46.6,36.1,14.9,7.7
1-Sep,46.5,35.7,14.8,7.7
1-Oct,46.4,35.3,15.0,7.7
1-Nov,46.4,35.0,15.0,7.7
1-Dec,46.3,34.9,14.9,7.6
1-Jan,46.2,34.5,14.8,7.7
1-Feb,46.1,34.7,14.8,7.7
1-Mar,46.1,34.8,14.6,7.6
1-Apr,46.1,34.9,14.5,7.6
1-May,46.2,34.9,14.4,7.6
1-Jun,46.2,35.0,14.2,7.6
1-Jul,46.2,35.0,14.2,7.6
1-Aug,46.1,34.9,14.2,7.6
1-Sep,46.0,34.9,14.4,7.6
1-Oct,45.9,34.8,14.4,7.5
1-Nov,45.7,35.0,14.4,7.4
1-Dec,45.6,34.9,14.5,7.4
1-Jan,45.5,35.1,14.5,7.4
1-Feb,45.4,35.0,14.5,7.4
1-Mar,45.2,34.7,14.5,7.5
1-Apr,45.1,34.5,14.6,7.5
1-May,44.9,34.4,14.6,7.5
1-Jun,44.7,34.2,14.7,7.6
1-Jul,44.5,33.9,14.7,7.7
1-Aug,44.4,33.7,14.6,7.8
1-Sep,44.4,33.7,14.5,7.8
1-Oct,44.4,33.9,14.4,7.8
1-Nov,44.3,33.8,14.3,7.9
1-Dec,44.3,33.7,14.3,7.9
1-Jan,44.3,33.4,14.2,7.9
1-Feb,44.3,33.3,14.2,7.9
1-Mar,44.4,33.4,14.2,7.8
1-Apr,44.5,33.5,14.1,7.9
1-May,44.5,33.7,14.1,7.9
1-Jun,44.7,34.0,14.0,7.8
1-Jul,44.8,34.2,14.0,7.8
1-Aug,44.9,34.8,13.8,7.7
1-Sep,44.9,34.9,13.8,7.7
